,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
4161,4162,H33575,H,301.9,310.3,1653,32.4,100,0,No Failure,1
806,807,M15666,M,297.0,307.9,1422,53.0,115,0,No Failure,1
8074,8075,L55254,L,300.4,312.0,1631,34.9,115,0,No Failure,1
286,287,L47466,L,298.2,308.3,1589,33.2,94,0,No Failure,1
5131,5132,L52311,L,304.1,313.3,1452,43.9,182,0,No Failure,1
7922,7923,L55102,L,300.7,311.9,1462,39.7,181,0,No Failure,1
2856,2857,H32270,H,300.5,309.3,1471,45.2,223,0,No Failure,1
4061,4062,L51241,L,301.9,310.8,1906,21.7,62,0,No Failure,1
4049,4050,L51229,L,301.8,310.8,1505,41.2,33,0,No Failure,1
6391,6392,M21251,M,300.2,309.7,1413,43.0,137,0,No Failure,1
5194,5195,M20054,M,303.9,313.1,1668,34.4,137,0,No Failure,1
2159,2160,M17019,M,299.5,309.0,1602,31.3,210,0,No Failure,1
3588,3589,M18448,M,301.7,310.6,1505,44.5,146,0,No Failure,1
254,255,L47434,L,298.0,308.2,1514,37.9,9,0,No Failure,1
4543,4544,M19403,M,302.6,310.5,1542,39.9,184,0,No Failure,1
5287,5288,H34701,H,303.8,313.2,1506,46.9,154,0,No Failure,1
8628,8629,L55808,L,297.5,308.4,1747,31.0,45,0,No Failure,1
1125,1126,M15985,M,296.7,307.8,1375,51.4,108,0,No Failure,1
9014,9015,M23874,M,297.2,308.1,1340,61.3,207,1,Overstrain Failure,2
1321,1322,L48501,L,298.9,310.2,1362,53.0,185,0,No Failure,1
4146,4147,L51326,L,301.8,310.3,1482,41.4,63,0,No Failure,1
9091,9092,M23951,M,297.2,308.0,1765,31.1,191,0,No Failure,1
4360,4361,L51540,L,302.1,310.1,1543,35.8,164,0,No Failure,1
5993,5994,M20853,M,300.7,310.6,1407,42.4,218,0,No Failure,1
5063,5064,H34477,H,304.0,312.9,1495,46.6,0,0,No Failure,1
7344,7345,L54524,L,299.6,310.1,1384,49.8,11,0,No Failure,1
7437,7438,L54617,L,299.8,311.3,1727,30.0,24,0,No Failure,1
5563,5564,M20423,M,302.3,311.7,1640,31.5,199,0,No Failure,1
2116,2117,M16976,M,299.4,309.0,1381,44.9,88,0,No Failure,1
2023,2024,L49203,L,298.7,308.5,1444,54.2,62,0,No Failure,1
9112,9113,M23972,M,297.6,308.6,1482,38.3,39,0,No Failure,1
7782,7783,M22642,M,300.4,311.6,1518,36.4,53,0,No Failure,1
7204,7205,L54384,L,299.8,309.6,1526,41.7,85,0,No Failure,1
222,223,L47402,L,298.4,308.6,1304,45.0,158,0,No Failure,1
218,219,L47398,L,298.3,308.6,1447,38.1,146,0,No Failure,1
6237,6238,L53417,L,301.4,310.9,1414,38.8,162,0,No Failure,1
625,626,L47805,L,298.3,310.1,1545,36.3,90,0,No Failure,1
4717,4718,M19577,M,303.4,311.6,1425,45.4,184,0,No Failure,1
4699,4700,L51879,L,303.5,311.6,1428,46.2,139,0,No Failure,1
3057,3058,L50237,L,300.1,309.1,1400,46.7,77,0,No Failure,1
1185,1186,L48365,L,297.3,308.4,1491,46.5,29,0,No Failure,1
3207,3208,M18067,M,300.2,309.0,1642,31.2,37,0,No Failure,1
9462,9463,L56642,L,298.5,309.3,1570,40.1,131,0,No Failure,1
6525,6526,L53705,L,301.1,310.4,1312,73.6,49,1,Power Failure,3
4942,4943,L52122,L,303.5,312.6,1602,34.2,108,0,No Failure,1
7737,7738,M22597,M,300.5,312.0,1985,19.3,143,0,No Failure,1
6849,6850,L54029,L,301.1,311.3,1498,37.6,11,0,No Failure,1
6203,6204,L53383,L,301.0,310.9,1404,41.8,71,0,No Failure,1
5329,5330,L52509,L,303.7,313.0,1456,45.5,51,0,No Failure,1
6005,6006,L53185,L,300.6,310.5,1570,38.3,14,0,No Failure,1
5397,5398,M20257,M,302.8,312.3,1416,42.7,241,0,No Failure,1
2563,2564,L49743,L,299.3,309.1,1496,37.2,149,0,No Failure,1
619,620,L47799,L,298.3,310.0,1507,44.7,73,0,No Failure,1
9727,9728,L56907,L,298.8,309.8,1461,39.4,141,0,No Failure,1
9073,9074,L56253,L,297.2,308.1,1689,31.2,145,0,No Failure,1
3554,3555,L50734,L,301.9,310.8,1525,43.2,62,0,No Failure,1
5966,5967,L53146,L,300.4,310.8,1396,49.3,142,0,No Failure,1
876,877,L48056,L,295.7,306.3,1915,22.4,79,0,No Failure,1
3612,3613,L50792,L,301.7,310.8,1622,37.8,0,0,No Failure,1
691,692,L47871,L,297.7,309.1,1563,39.3,56,0,No Failure,1
6056,6057,L53236,L,300.8,310.8,1634,29.2,149,0,No Failure,1
2080,2081,L49260,L,299.3,309.2,2280,15.4,207,0,No Failure,1
9647,9648,L56827,L,299.2,310.2,1458,47.0,183,0,No Failure,1
1177,1178,M16037,M,297.2,308.3,1604,39.4,9,0,No Failure,1
4741,4742,L51921,L,303.2,311.3,1393,52.9,12,0,No Failure,1
1755,1756,L48935,L,298.0,307.3,1424,46.5,185,0,No Failure,1
7214,7215,M22074,M,299.9,309.8,1625,41.2,109,0,No Failure,1
1615,1616,L48795,L,297.8,307.9,1447,48.6,46,0,No Failure,1
5482,5483,L52662,L,302.6,312.1,1782,26.8,198,0,No Failure,1
7691,7692,M22551,M,300.5,311.5,1370,56.1,7,0,No Failure,1
6312,6313,M21172,M,300.9,310.2,1533,38.1,137,0,No Failure,1
8326,8327,H37740,H,298.6,309.5,1523,34.2,119,0,No Failure,1
7600,7601,M22460,M,300.4,311.0,1595,35.4,15,0,No Failure,1
6103,6104,L53283,L,300.8,310.8,1407,45.1,51,0,No Failure,1
9629,9630,H39043,H,299.0,310.1,2053,19.7,137,0,No Failure,1
941,942,L48121,L,295.6,306.2,1650,28.2,35,0,No Failure,1
5265,5266,M20125,M,303.5,312.9,1883,23.3,100,0,No Failure,1
1289,1290,M16149,M,298.6,309.7,1635,32.2,110,0,No Failure,1
956,957,H30370,H,295.6,306.2,1632,32.2,76,0,No Failure,1
7228,7229,H36642,H,299.8,309.7,1368,47.4,148,0,No Failure,1
1987,1988,M16847,M,298.2,307.8,1599,31.2,173,0,No Failure,1
4166,4167,H33580,H,302.3,310.6,1525,48.7,114,0,No Failure,1
2144,2145,L49324,L,299.4,308.9,1451,40.5,168,0,No Failure,1
8190,8191,M23050,M,299.7,310.9,1620,37.2,203,0,No Failure,1
4989,4990,L52169,L,303.9,313.2,1499,37.4,7,0,No Failure,1
3953,3954,M18813,M,302.3,311.4,1484,39.5,22,0,No Failure,1
7539,7540,L54719,L,300.2,311.3,1487,36.9,71,0,No Failure,1
1338,1339,L48518,L,298.6,310.1,1721,27.2,5,0,No Failure,1
3841,3842,L51021,L,302.4,311.1,1565,42.8,163,0,No Failure,1
7878,7879,L55058,L,300.7,312.3,1418,49.0,69,0,No Failure,1
2126,2127,L49306,L,299.3,309.0,1449,46.5,121,0,No Failure,1
2285,2286,L49465,L,299.4,308.7,1381,56.7,102,0,No Failure,1
7340,7341,L54520,L,299.7,310.3,1386,46.6,2,0,No Failure,1
9108,9109,M23968,M,297.5,308.6,1440,38.8,29,0,No Failure,1
2416,2417,L49596,L,299.0,308.4,1571,38.6,5,0,No Failure,1
6686,6687,L53866,L,301.7,311.0,1715,24.8,17,0,No Failure,1
9790,9791,L56970,L,298.6,309.5,1483,43.2,92,0,No Failure,1
5048,5049,H34462,H,304.0,313.2,1271,68.6,161,1,Power Failure,3
1571,1572,L48751,L,298.3,308.4,1528,37.3,160,0,No Failure,1
7957,7958,H37371,H,300.9,311.9,2140,16.5,43,0,No Failure,1
6638,6639,L53818,L,301.5,310.5,1453,44.2,129,0,No Failure,1
3432,3433,M18292,M,301.6,310.7,2012,20.7,178,0,No Failure,1
1515,1516,M16375,M,298.2,308.9,1614,35.5,15,0,No Failure,1
7970,7971,M22830,M,300.9,312.1,1297,48.6,76,0,No Failure,1
1488,1489,L48668,L,298.2,309.1,1568,36.3,166,0,No Failure,1
5781,5782,M20641,M,301.7,311.1,1618,36.7,115,0,No Failure,1
1720,1721,L48900,L,298.2,307.7,1459,44.5,89,0,No Failure,1
7313,7314,L54493,L,299.9,310.4,1408,38.4,144,0,No Failure,1
9821,9822,L57001,L,298.6,309.4,1667,35.6,185,0,No Failure,1
2802,2803,M17662,M,300.3,309.6,1509,46.6,95,0,No Failure,1
5196,5197,H34610,H,303.9,313.0,1517,36.0,142,0,No Failure,1
2362,2363,H31776,H,299.3,308.6,1520,41.4,67,0,No Failure,1
7832,7833,L55012,L,300.0,311.4,1484,37.0,183,0,No Failure,1
6238,6239,L53418,L,301.3,310.8,1390,57.4,164,0,No Failure,1
7359,7360,M22219,M,299.4,310.0,1512,43.2,47,0,No Failure,1
9939,9940,H39353,H,298.3,308.1,2636,12.8,84,0,No Failure,1
793,794,M15653,M,296.8,307.9,1683,31.8,76,0,No Failure,1
1572,1573,L48752,L,298.2,308.3,1230,59.6,162,0,No Failure,1
1315,1316,L48495,L,299.0,310.3,1520,45.0,171,0,No Failure,1
8477,8478,H37891,H,298.5,309.6,1579,33.5,91,0,No Failure,1
1094,1095,L48274,L,296.9,307.5,1354,44.4,16,0,No Failure,1
8900,8901,M23760,M,297.3,308.6,1584,29.4,141,0,No Failure,1
1986,1987,L49166,L,298.1,307.6,1498,42.9,171,0,No Failure,1
7091,7092,L54271,L,300.6,310.2,1318,51.0,8,0,No Failure,1
6872,6873,L54052,L,301.0,311.3,1472,35.3,73,0,No Failure,1
2438,2439,M17298,M,299.1,308.4,1330,53.6,62,0,No Failure,1
1967,1968,L49147,L,297.9,307.6,1589,37.8,120,0,No Failure,1
9013,9014,H38427,H,297.2,308.0,1435,43.0,202,0,No Failure,1
4268,4269,L51448,L,302.7,311.0,1694,29.8,150,0,No Failure,1
8897,8898,M23757,M,297.3,308.7,1577,35.6,133,0,No Failure,1
1868,1869,L49048,L,298.3,308.0,1361,56.9,81,0,No Failure,1
7531,7532,H36945,H,300.1,311.4,1377,56.7,50,0,No Failure,1
5919,5920,L53099,L,300.6,310.3,1414,50.6,25,0,No Failure,1
6565,6566,L53745,L,301.4,310.6,1550,36.8,159,0,No Failure,1
3832,3833,M18692,M,302.2,310.9,1465,43.5,140,0,No Failure,1
2227,2228,L49407,L,299.5,308.8,1965,20.4,164,0,No Failure,1
4106,4107,L51286,L,301.9,310.5,1425,51.1,173,0,No Failure,1
4228,4229,L51408,L,302.2,310.8,2203,16.6,47,0,No Failure,1
4232,4233,L51412,L,302.2,310.9,1452,42.3,56,0,No Failure,1
6936,6937,L54116,L,300.6,311.1,1471,40.7,26,0,No Failure,1
8415,8416,M23275,M,298.7,309.9,1434,53.0,144,0,No Failure,1
7759,7760,L54939,L,300.4,311.8,1272,59.2,198,1,Overstrain Failure,2
9541,9542,M24401,M,299.5,310.8,1754,31.3,114,0,No Failure,1
4659,4660,M19519,M,303.1,311.2,1489,44.5,27,0,No Failure,1
6711,6712,L53891,L,301.5,310.7,1426,46.1,81,0,No Failure,1
4363,4364,H33777,H,302.1,310.1,1844,24.6,171,0,No Failure,1
1264,1265,M16124,M,297.8,309.3,2243,15.7,36,0,No Failure,1
2134,2135,L49314,L,299.3,309.0,1473,46.3,146,0,No Failure,1
6419,6420,H35833,H,300.3,309.9,1394,46.7,210,1,Tool Wear Failure,5
9857,9858,M24717,M,298.6,309.5,1366,55.0,65,0,No Failure,1
6159,6160,L53339,L,301.0,311.0,1399,58.0,190,1,Overstrain Failure,2
4560,4561,L51740,L,302.7,310.7,1597,41.9,15,0,No Failure,1
1873,1874,L49053,L,298.4,308.1,1367,57.8,92,0,No Failure,1
1890,1891,L49070,L,297.8,307.4,1512,40.8,137,0,No Failure,1
685,686,M15545,M,297.7,309.0,1636,29.7,32,0,No Failure,1
1820,1821,L49000,L,298.1,307.5,1493,43.7,153,0,No Failure,1
1946,1947,L49126,L,298.2,308.1,1622,34.9,67,0,No Failure,1
6142,6143,L53322,L,300.9,310.9,1755,27.9,148,0,No Failure,1
5769,5770,L52949,L,301.7,311.3,1348,51.0,87,0,No Failure,1
5680,5681,M20540,M,302.2,311.6,1386,50.5,69,0,No Failure,1
9759,9760,L56939,L,298.5,309.7,1613,36.7,0,0,No Failure,1
6260,6261,L53440,L,301.1,310.7,1436,45.3,8,0,No Failure,1
5220,5221,L52400,L,303.8,313.0,1633,32.9,207,0,No Failure,1
2795,2796,M17655,M,300.3,309.5,1405,49.4,77,0,No Failure,1
2487,2488,H31901,H,298.9,308.6,1623,31.0,180,0,No Failure,1
5174,5175,M20034,M,304.2,313.5,1390,47.8,83,0,No Failure,1
6529,6530,L53709,L,301.3,310.6,1481,40.9,57,0,No Failure,1
9492,9493,L56672,L,299.1,309.9,1586,36.6,215,0,No Failure,1
4211,4212,L51391,L,302.1,310.7,1314,52.8,8,1,Heat Dissipation Failure,0
5892,5893,L53072,L,301.4,311.1,1472,44.5,159,0,No Failure,1
260,261,M15120,M,298.2,308.3,1522,49.1,22,0,No Failure,1
1883,1884,M16743,M,298.0,307.6,1472,46.7,116,0,No Failure,1
2550,2551,L49730,L,299.4,309.3,1366,48.4,116,0,No Failure,1
9453,9454,H38867,H,298.2,309.0,1360,56.8,107,0,No Failure,1
1410,1411,M16270,M,298.9,310.1,1469,53.2,189,0,No Failure,1
1859,1860,L49039,L,297.8,307.4,1355,45.8,60,0,No Failure,1
3842,3843,L51022,L,302.5,311.2,1545,40.1,165,0,No Failure,1
830,831,L48010,L,296.6,307.4,1631,35.0,168,0,No Failure,1
3632,3633,L50812,L,302.1,311.3,1634,30.6,50,0,No Failure,1
2706,2707,M17566,M,299.6,309.1,1560,37.1,73,0,No Failure,1
5809,5810,H35223,H,301.3,311.0,1580,36.6,184,0,No Failure,1
7504,7505,L54684,L,300.4,311.8,1589,42.0,201,0,No Failure,1
5692,5693,M20552,M,302.4,311.9,1313,55.7,102,0,No Failure,1
5134,5135,L52314,L,304.1,313.3,1438,45.5,188,0,No Failure,1
1729,1730,M16589,M,298.3,307.7,1439,43.8,111,0,No Failure,1
2649,2650,M17509,M,299.9,309.5,1582,38.2,160,0,No Failure,1
278,279,M15138,M,298.0,308.0,1620,29.4,75,0,No Failure,1
8295,8296,L55475,L,298.9,310.4,1739,26.3,30,0,No Failure,1
7012,7013,L54192,L,300.4,310.4,1298,61.4,19,0,No Failure,1
9052,9053,M23912,M,297.4,308.6,1901,22.1,81,0,No Failure,1
1893,1894,L49073,L,297.8,307.5,1631,29.9,144,0,No Failure,1
5847,5848,L53027,L,301.4,311.3,1397,42.3,48,0,No Failure,1
5635,5636,L52815,L,302.6,312.1,1502,47.3,171,0,No Failure,1
6973,6974,L54153,L,300.7,311.0,1462,41.9,126,0,No Failure,1
4544,4545,L51724,L,302.5,310.4,1349,55.1,187,1,Heat Dissipation Failure,0
7095,7096,L54275,L,300.6,310.1,1485,49.9,19,0,No Failure,1
3883,3884,M18743,M,302.4,311.4,1534,40.1,41,0,No Failure,1
5027,5028,L52207,L,304.0,313.3,1294,54.6,102,0,No Failure,1
7772,7773,H37186,H,300.3,311.5,1464,41.0,29,0,No Failure,1
1545,1546,M16405,M,298.4,309.0,1544,38.8,97,0,No Failure,1
825,826,L48005,L,296.6,307.3,1474,40.0,158,0,No Failure,1
594,595,H30008,H,297.6,309.6,1278,50.4,2,0,No Failure,1
1546,1547,L48726,L,298.4,308.9,1391,48.4,100,0,No Failure,1
8058,8059,L55238,L,300.3,311.6,1515,44.9,69,0,No Failure,1
4854,4855,L52034,L,303.7,312.2,1568,33.8,96,0,No Failure,1
4351,4352,L51531,L,301.8,309.6,1432,43.7,138,0,No Failure,1
8714,8715,M23574,M,297.2,308.6,1444,41.1,56,0,No Failure,1
128,129,L47308,L,299.0,308.6,1587,38.6,124,0,No Failure,1
7506,7507,L54686,L,300.5,311.9,1511,41.8,205,0,No Failure,1
4311,4312,M19171,M,301.5,310.1,1468,40.8,32,0,No Failure,1
3675,3676,M18535,M,302.1,311.5,1866,23.1,159,0,No Failure,1
7352,7353,M22212,M,299.7,310.2,1440,42.8,30,0,No Failure,1
8676,8677,M23536,M,297.3,308.5,1520,42.4,171,0,No Failure,1
3086,3087,L50266,L,300.0,309.2,1610,32.1,150,0,No Failure,1
1732,1733,H31146,H,298.4,307.9,1700,28.2,120,0,No Failure,1
674,675,L47854,L,297.8,309.0,1456,41.2,0,0,No Failure,1
9648,9649,L56828,L,299.1,310.1,1416,41.2,185,0,No Failure,1
274,275,L47454,L,298.1,308.0,1652,28.5,63,0,No Failure,1
9789,9790,L56969,L,298.6,309.6,1715,28.4,90,0,No Failure,1
7023,7024,M21883,M,300.7,310.6,1572,38.5,50,0,No Failure,1
7251,7252,M22111,M,300.2,310.3,1448,40.1,209,0,No Failure,1
8516,8517,L55696,L,298.3,309.6,1527,30.9,189,0,No Failure,1
9691,9692,L56871,L,299.0,310.0,1582,31.9,51,0,No Failure,1
2354,2355,L49534,L,299.3,308.6,1433,37.7,42,0,No Failure,1
1170,1171,M16030,M,297.1,308.1,1823,24.3,219,0,No Failure,1
1939,1940,M16799,M,298.1,307.9,1303,53.9,52,0,No Failure,1
5929,5930,L53109,L,300.3,310.2,1471,45.2,48,0,No Failure,1
1225,1226,H30639,H,297.1,308.3,1492,41.5,141,0,No Failure,1
1912,1913,M16772,M,298.0,307.7,1621,34.9,194,0,No Failure,1
4036,4037,L51216,L,302.0,310.8,1445,49.1,2,0,No Failure,1
2733,2734,L49913,L,299.7,309.2,1422,40.4,140,0,No Failure,1
2090,2091,L49270,L,299.5,309.2,1393,47.3,20,0,No Failure,1
4519,4520,L51699,L,302.4,310.4,1666,29.7,125,0,No Failure,1
8787,8788,M23647,M,297.5,308.5,1699,30.1,40,0,No Failure,1
7881,7882,L55061,L,300.8,312.4,1493,39.1,79,0,No Failure,1
4327,4328,H33741,H,301.7,310.1,1660,29.3,72,0,No Failure,1
2707,2708,M17567,M,299.6,309.0,1539,36.1,76,0,No Failure,1
112,113,M14972,M,298.8,308.7,1498,39.5,89,0,No Failure,1
6487,6488,H35901,H,300.6,309.8,1541,36.2,166,0,No Failure,1
3704,3705,M18564,M,302.0,311.2,1400,49.5,20,0,No Failure,1
8150,8151,M23010,M,299.5,310.7,1424,41.3,101,0,No Failure,1
3068,3069,H32482,H,300.0,309.0,1622,31.8,103,0,No Failure,1
550,551,L47730,L,297.4,309.2,1698,29.4,119,0,No Failure,1
6568,6569,L53748,L,301.3,310.6,1521,36.3,166,0,No Failure,1
5143,5144,M20003,M,304.3,313.5,1525,42.0,2,0,No Failure,1
4642,4643,L51822,L,303.2,311.4,1238,54.6,226,1,Heat Dissipation Failure,0
2333,2334,L49513,L,299.2,308.5,1445,45.2,222,0,No Failure,1
7718,7719,H37132,H,300.6,311.7,1427,44.6,87,0,No Failure,1
229,230,L47409,L,298.3,308.5,1538,32.2,173,0,No Failure,1
4804,4805,L51984,L,303.7,312.6,1621,38.8,182,0,No Failure,1
473,474,M15333,M,297.4,309.0,1520,37.0,147,0,No Failure,1
3014,3015,L50194,L,300.5,309.7,1580,42.8,196,0,No Failure,1
3491,3492,H32905,H,301.9,310.9,1590,34.3,106,0,No Failure,1
4571,4572,L51751,L,302.8,310.9,1708,29.8,42,0,No Failure,1
5183,5184,M20043,M,303.9,313.0,1901,22.5,110,0,No Failure,1
9530,9531,H38944,H,299.1,310.4,1405,53.6,86,0,No Failure,1
4993,4994,L52173,L,303.8,312.9,1819,23.7,16,0,No Failure,1
2963,2964,M17823,M,300.7,309.6,1439,43.0,61,0,No Failure,1
8348,8349,M23208,M,298.7,309.6,1452,42.7,180,0,No Failure,1
2098,2099,L49278,L,299.4,309.3,1401,59.0,38,0,No Failure,1
6722,6723,L53902,L,301.4,310.7,1657,28.7,108,0,No Failure,1
234,235,L47414,L,298.2,308.4,1478,42.9,183,0,No Failure,1
6077,6078,L53257,L,300.9,310.7,1479,43.3,201,0,No Failure,1
589,590,L47769,L,297.6,309.4,1491,40.2,231,0,No Failure,1
994,995,M15854,M,296.2,307.2,1168,63.4,172,0,No Failure,1
3169,3170,M18029,M,300.4,309.6,1675,35.5,164,0,No Failure,1
3864,3865,M18724,M,302.5,311.4,1629,31.7,225,0,No Failure,1
9381,9382,M24241,M,297.5,308.1,1480,42.4,112,0,No Failure,1
9317,9318,L56497,L,298.5,309.5,1480,38.1,160,0,No Failure,1
6868,6869,L54048,L,301.0,311.2,1363,46.3,62,0,No Failure,1
712,713,L47892,L,297.5,308.7,1453,37.6,112,0,No Failure,1
7561,7562,L54741,L,300.3,311.1,1388,49.4,128,0,No Failure,1
2987,2988,M17847,M,300.6,309.8,1659,28.9,127,0,No Failure,1
9060,9061,H38474,H,297.2,308.3,1453,45.8,105,0,No Failure,1
8527,8528,L55707,L,298.4,309.3,1531,37.4,16,0,No Failure,1
3195,3196,M18055,M,300.0,309.2,1635,32.4,4,0,No Failure,1
8299,8300,L55479,L,298.7,310.0,1637,31.8,42,0,No Failure,1
6996,6997,M21856,M,300.5,310.6,1621,32.0,184,0,No Failure,1
6309,6310,L53489,L,300.9,310.2,1382,50.4,131,0,No Failure,1
4289,4290,M19149,M,301.8,310.0,1781,23.9,198,0,No Failure,1
931,932,L48111,L,295.5,305.9,1542,36.2,12,0,No Failure,1
1475,1476,M16335,M,298.4,309.5,1519,35.4,133,0,No Failure,1
9818,9819,M24678,M,298.6,309.4,1407,45.1,176,0,No Failure,1
3707,3708,M18567,M,302.1,311.3,1497,38.4,28,0,No Failure,1
2355,2356,M17215,M,299.3,308.5,1305,60.6,44,0,No Failure,1
7510,7511,L54690,L,300.5,311.8,1524,38.9,214,1,Tool Wear Failure,5
8500,8501,L55680,L,298.3,309.5,1711,30.3,148,0,No Failure,1
2512,2513,L49692,L,298.9,308.8,1530,38.3,23,0,No Failure,1
8043,8044,L55223,L,300.7,311.9,1486,35.8,32,0,No Failure,1
4634,4635,L51814,L,303.0,311.2,1755,30.4,205,0,No Failure,1
587,588,H30001,H,297.6,309.5,1623,33.1,224,0,No Failure,1
1685,1686,L48865,L,297.9,307.3,1824,26.3,5,0,No Failure,1
1049,1050,L48229,L,296.5,307.6,1415,44.2,106,0,No Failure,1
3801,3802,M18661,M,302.2,310.9,1771,27.6,54,0,No Failure,1
6781,6782,M21641,M,301.3,310.8,1494,35.3,54,0,No Failure,1
9280,9281,H38694,H,298.2,308.8,1470,43.3,61,0,No Failure,1
3001,3002,L50181,L,300.5,309.8,1445,43.9,164,0,No Failure,1
6207,6208,L53387,L,300.7,310.6,1447,40.7,82,0,No Failure,1
1435,1436,H30849,H,298.8,309.9,1526,42.1,30,0,No Failure,1
3732,3733,M18592,M,302.2,311.2,1347,49.8,94,0,No Failure,1
6008,6009,L53188,L,300.7,310.7,1431,39.3,22,0,No Failure,1
9165,9166,L56345,L,297.6,308.6,1326,62.4,173,0,No Failure,1
7532,7533,M22392,M,300.0,311.3,1629,32.1,55,0,No Failure,1
4432,4433,L51612,L,302.4,310.2,1445,46.4,125,0,No Failure,1
9270,9271,L56450,L,298.2,308.8,1302,60.4,34,0,No Failure,1
3123,3124,H32537,H,300.0,309.4,1498,38.5,37,0,No Failure,1
6888,6889,M21748,M,300.9,311.4,1434,45.4,118,0,No Failure,1
3948,3949,M18808,M,302.2,311.3,1510,37.1,10,0,No Failure,1
