,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
4814,4815,L51994,L,303.4,311.8,1401,53.0,208,1,Overstrain Failure,2
4142,4143,L51322,L,301.7,310.1,1424,50.2,54,0,No Failure,1
5401,5402,M20261,M,302.6,312.3,1454,54.8,253,1,Tool Wear Failure,5
2246,2247,L49426,L,299.3,308.4,1406,47.4,3,0,No Failure,1
7619,7620,L54799,L,300.6,311.5,1459,47.0,63,0,No Failure,1
4374,4375,L51554,L,302.0,309.7,1551,34.8,207,0,No Failure,1
2389,2390,L49569,L,299.2,308.5,1867,27.0,138,0,No Failure,1
9568,9569,L56748,L,299.8,311.1,1588,38.0,183,0,No Failure,1
828,829,L48008,L,296.5,307.3,1566,37.2,164,0,No Failure,1
2696,2697,L49876,L,300.0,309.6,1452,46.0,51,0,No Failure,1
3479,3480,M18339,M,301.8,310.8,1619,31.0,76,0,No Failure,1
8760,8761,M23620,M,297.4,308.7,1392,46.4,174,0,No Failure,1
654,655,L47834,L,297.8,309.2,1683,30.9,163,0,No Failure,1
3480,3481,L50660,L,301.9,310.8,1400,58.2,79,0,No Failure,1
9022,9023,L56202,L,297.4,308.3,1548,46.6,7,0,No Failure,1
9428,9429,H38842,H,298.2,308.8,1837,28.4,34,0,No Failure,1
4728,4729,L51908,L,303.4,311.7,1406,47.1,213,0,No Failure,1
2380,2381,L49560,L,299.0,308.1,1242,60.9,117,0,No Failure,1
6180,6181,L53360,L,301.0,310.9,1492,44.6,15,0,No Failure,1
4045,4046,M18905,M,301.8,310.9,1881,20.9,23,0,No Failure,1
1678,1679,L48858,L,298.0,307.5,1644,32.8,215,0,No Failure,1
4418,4419,L51598,L,302.6,310.3,1642,33.2,82,0,No Failure,1
9992,9993,L57172,L,298.8,308.4,1484,39.2,8,0,No Failure,1
9054,9055,M23914,M,297.3,308.4,1521,38.2,87,0,No Failure,1
7954,7955,L55134,L,301.0,311.9,1454,41.9,33,0,No Failure,1
6635,6636,L53815,L,301.5,310.5,1534,39.3,119,0,No Failure,1
525,526,L47705,L,297.4,309.4,1466,45.5,53,0,No Failure,1
2971,2972,M17831,M,300.7,309.5,1393,43.9,81,0,No Failure,1
1792,1793,M16652,M,298.1,307.7,1445,48.0,73,0,No Failure,1
9142,9143,L56322,L,297.6,308.5,1678,34.2,114,0,No Failure,1
9223,9224,L56403,L,297.9,309.0,1382,43.9,116,0,No Failure,1
7582,7583,H36996,H,300.4,311.2,1489,45.3,180,0,No Failure,1
251,252,M15111,M,298.0,308.2,1466,42.6,2,0,No Failure,1
4931,4932,M19791,M,303.3,312.1,1693,30.0,80,0,No Failure,1
4905,4906,L52085,L,303.6,312.4,1363,53.1,7,0,No Failure,1
6007,6008,M20867,M,300.7,310.6,1349,54.5,19,0,No Failure,1
6050,6051,M20910,M,300.9,311.1,1546,37.7,133,0,No Failure,1
3999,4000,L51179,L,302.0,311.0,1420,45.9,144,0,No Failure,1
5086,5087,L52266,L,304.0,313.0,1541,45.9,64,0,No Failure,1
8156,8157,L55336,L,299.6,310.8,1644,30.9,114,0,No Failure,1
857,858,M15717,M,296.1,307.1,1350,53.3,22,0,No Failure,1
5652,5653,L52832,L,302.4,311.8,1727,26.5,213,0,No Failure,1
5020,5021,L52200,L,304.1,313.1,1556,36.3,86,0,No Failure,1
9597,9598,L56777,L,298.9,310.1,1510,38.0,52,0,No Failure,1
5037,5038,M19897,M,304.1,313.2,1586,41.1,129,0,No Failure,1
1151,1152,L48331,L,297.0,307.9,1350,47.7,168,0,No Failure,1
6363,6364,M21223,M,300.0,309.6,1618,36.2,53,0,No Failure,1
1306,1307,L48486,L,298.8,310.0,1487,41.4,152,0,No Failure,1
3523,3524,L50703,L,301.8,310.9,1521,39.3,197,0,No Failure,1
510,511,L47690,L,297.5,309.3,1564,37.5,20,0,No Failure,1
9795,9796,L56975,L,298.5,309.3,1623,33.1,109,0,No Failure,1
3561,3562,L50741,L,301.7,310.6,1486,38.5,78,0,No Failure,1
9026,9027,M23886,M,297.5,308.4,1685,28.1,15,0,No Failure,1
4378,4379,M19238,M,301.9,309.6,1385,45.8,217,0,No Failure,1
8121,8122,L55301,L,300.2,311.6,1827,27.0,22,0,No Failure,1
1530,1531,L48710,L,298.1,309.0,1497,40.5,58,0,No Failure,1
2953,2954,L50133,L,300.7,309.5,1578,35.4,34,0,No Failure,1
5735,5736,L52915,L,302.4,311.8,1673,30.1,210,0,No Failure,1
5987,5988,L53167,L,300.7,310.8,1608,39.5,202,0,No Failure,1
7623,7624,L54803,L,300.6,311.7,1734,29.9,72,0,No Failure,1
3923,3924,M18783,M,302.6,311.4,1718,31.2,154,0,No Failure,1
6787,6788,H36201,H,301.1,310.6,1388,58.5,68,0,No Failure,1
7768,7769,M22628,M,300.2,311.4,1960,20.9,20,0,No Failure,1
7794,7795,M22654,M,300.2,311.6,1415,55.8,82,0,No Failure,1
2283,2284,L49463,L,299.2,308.5,1387,51.1,98,0,No Failure,1
1816,1817,L48996,L,298.1,307.6,1460,46.5,143,0,No Failure,1
5119,5120,L52299,L,304.2,313.6,1411,46.0,149,0,No Failure,1
6838,6839,L54018,L,301.1,311.1,1570,41.6,202,0,No Failure,1
7545,7546,L54725,L,300.2,311.4,1891,22.6,86,0,No Failure,1
3750,3751,L50930,L,302.3,311.1,1589,29.9,141,0,No Failure,1
6189,6190,M21049,M,301.0,310.9,1910,21.9,37,0,No Failure,1
3451,3452,L50631,L,301.6,310.6,1455,43.9,0,0,No Failure,1
7697,7698,L54877,L,300.5,311.4,1400,45.1,29,0,No Failure,1
3593,3594,M18453,M,301.6,310.4,1377,44.9,161,0,No Failure,1
59,60,L47239,L,298.8,309.1,1378,54.4,165,0,No Failure,1
2110,2111,H31524,H,299.3,309.0,1508,35.0,70,0,No Failure,1
1026,1027,L48206,L,296.4,307.4,1512,36.8,46,0,No Failure,1
8290,8291,M23150,M,298.9,310.6,1679,35.8,14,0,No Failure,1
8171,8172,H37585,H,300.0,311.4,1641,34.5,155,0,No Failure,1
2349,2350,M17209,M,299.3,308.5,1386,42.2,30,0,No Failure,1
170,171,M15030,M,298.4,308.2,1610,35.0,24,0,No Failure,1
6533,6534,L53713,L,301.3,310.7,1504,47.2,74,0,No Failure,1
3345,3346,L50525,L,301.3,310.7,1594,34.1,172,0,No Failure,1
6434,6435,M21294,M,300.3,309.9,1494,38.5,33,0,No Failure,1
8436,8437,L55616,L,298.7,309.9,1371,51.3,201,0,No Failure,1
3415,3416,L50595,L,301.4,310.4,1579,36.9,133,0,No Failure,1
5883,5884,L53063,L,301.4,311.1,1800,26.0,135,0,No Failure,1
3746,3747,H33160,H,302.5,311.3,1393,47.5,130,0,No Failure,1
6090,6091,L53270,L,300.9,310.8,1708,29.1,14,0,No Failure,1
468,469,L47648,L,297.3,308.7,1619,31.6,129,0,No Failure,1
7235,7236,L54415,L,299.8,310.0,1361,53.8,167,0,No Failure,1
9523,9524,L56703,L,299.0,310.2,1494,40.6,67,0,No Failure,1
2602,2603,L49782,L,299.4,309.2,1427,41.5,29,0,No Failure,1
6703,6704,M21563,M,301.5,310.7,1744,28.2,61,0,No Failure,1
4055,4056,L51235,L,302.0,311.0,1865,22.7,48,0,No Failure,1
5745,5746,L52925,L,302.1,311.5,1987,20.1,21,0,No Failure,1
194,195,M15054,M,298.2,308.5,2678,10.7,86,1,Power Failure,3
9850,9851,M24710,M,298.5,309.3,1498,34.6,46,0,No Failure,1
3020,3021,L50200,L,300.4,309.6,1543,38.1,209,0,No Failure,1
5504,5505,L52684,L,302.8,312.2,1458,51.0,42,0,No Failure,1
6264,6265,L53444,L,300.9,310.4,1541,39.1,17,0,No Failure,1
7155,7156,M22015,M,300.2,309.9,1569,31.2,176,0,No Failure,1
7964,7965,L55144,L,300.9,312.1,1423,40.2,63,0,No Failure,1
8304,8305,M23164,M,298.7,310.1,1506,50.7,53,0,No Failure,1
4271,4272,L51451,L,302.6,310.8,1470,41.2,156,0,No Failure,1
3514,3515,H32928,H,301.9,311.0,1430,49.8,174,0,No Failure,1
3667,3668,L50847,L,302.3,311.6,1665,34.3,139,0,No Failure,1
5733,5734,L52913,L,302.3,311.8,1487,43.2,206,0,No Failure,1
3712,3713,L50892,L,302.3,311.5,1543,33.1,39,0,No Failure,1
1351,1352,L48531,L,298.7,310.2,1525,43.7,34,0,No Failure,1
6808,6809,L53988,L,301.0,310.7,1391,45.0,123,0,No Failure,1
764,765,L47944,L,296.8,307.9,1337,56.5,5,0,No Failure,1
4580,4581,L51760,L,303.0,311.2,1494,37.0,67,0,No Failure,1
5507,5508,L52687,L,302.8,312.1,1520,39.9,48,0,No Failure,1
9752,9753,L56932,L,298.6,309.8,1561,32.6,201,0,No Failure,1
7329,7330,M22189,M,299.9,310.4,1576,34.3,188,0,No Failure,1
4583,4584,M19443,M,302.9,311.2,1467,37.7,73,0,No Failure,1
4538,4539,L51718,L,302.4,310.3,1923,23.3,172,0,No Failure,1
173,174,M15033,M,298.2,308.0,1591,33.7,32,0,No Failure,1
212,213,H29626,H,298.4,308.7,1344,52.9,130,0,No Failure,1
7716,7717,M22576,M,300.5,311.5,1378,48.2,82,0,No Failure,1
8663,8664,L55843,L,297.5,308.6,1671,29.4,136,0,No Failure,1
5284,5285,M20144,M,303.8,313.2,1732,29.6,147,0,No Failure,1
907,908,M15767,M,295.6,306.1,1669,29.0,161,0,No Failure,1
6818,6819,M21678,M,301.0,310.7,1657,29.9,148,0,No Failure,1
1607,1608,L48787,L,297.8,307.8,1412,48.3,27,0,No Failure,1
8391,8392,L55571,L,298.6,309.6,1423,42.7,82,0,No Failure,1
451,452,H29865,H,297.5,308.6,1440,46.1,84,0,No Failure,1
678,679,M15538,M,297.8,309.2,1295,61.2,12,0,No Failure,1
4835,4836,M19695,M,303.4,311.9,1419,50.9,39,0,No Failure,1
2714,2715,M17574,M,299.6,309.1,1366,55.2,95,0,No Failure,1
8434,8435,M23294,M,298.7,309.9,1654,29.1,195,0,No Failure,1
9338,9339,H38752,H,298.5,309.0,1531,30.8,212,0,No Failure,1
9155,9156,L56335,L,297.5,308.5,1340,57.4,143,0,No Failure,1
6119,6120,L53299,L,300.9,311.1,1471,39.3,91,0,No Failure,1
4720,4721,M19580,M,303.4,311.7,1353,44.1,192,1,Heat Dissipation Failure,0
6738,6739,H36152,H,301.8,311.1,1463,50.1,149,0,No Failure,1
3890,3891,L51070,L,302.3,311.2,1386,53.5,59,0,No Failure,1
590,591,L47770,L,297.5,309.4,1517,36.7,233,0,No Failure,1
6877,6878,M21737,M,300.8,311.2,1488,40.1,87,0,No Failure,1
1067,1068,L48247,L,296.9,307.8,1466,45.7,153,0,No Failure,1
168,169,L47348,L,298.4,308.3,1433,62.3,20,1,Power Failure,3
3341,3342,H32755,H,301.4,310.7,1329,52.0,160,0,No Failure,1
3967,3968,M18827,M,302.3,311.4,1479,45.6,59,0,No Failure,1
3456,3457,H32870,H,301.4,310.4,1610,38.6,16,0,No Failure,1
376,377,M15236,M,297.4,308.2,1401,51.9,117,0,No Failure,1
8203,8204,M23063,M,299.4,310.9,1473,40.1,7,0,No Failure,1
3552,3553,M18412,M,301.8,310.9,1358,52.3,56,0,No Failure,1
1426,1427,M16286,M,298.7,309.7,1622,34.6,8,0,No Failure,1
8066,8067,L55246,L,300.4,311.9,1868,21.3,92,0,No Failure,1
5854,5855,L53034,L,301.2,310.9,1416,53.3,66,0,No Failure,1
6647,6648,L53827,L,301.5,310.5,1927,22.4,149,0,No Failure,1
5501,5502,L52681,L,302.7,312.1,1543,37.5,33,0,No Failure,1
9726,9727,L56906,L,298.8,309.8,1557,37.2,139,0,No Failure,1
2086,2087,H31500,H,299.4,309.3,1439,49.7,9,0,No Failure,1
6715,6716,L53895,L,301.3,310.6,1576,30.4,92,0,No Failure,1
831,832,M15691,M,296.6,307.4,1544,42.3,170,0,No Failure,1
3635,3636,M18495,M,302.1,311.2,1616,35.1,57,0,No Failure,1
3365,3366,M18225,M,301.4,310.6,1630,30.3,2,0,No Failure,1
8709,8710,L55889,L,297.1,308.5,1578,35.6,46,0,No Failure,1
8823,8824,M23683,M,297.3,308.8,1447,57.4,134,0,No Failure,1
9942,9943,L57122,L,298.4,308.1,1375,50.8,94,0,No Failure,1
5181,5182,L52361,L,304.0,313.1,1720,28.7,106,0,No Failure,1
2873,2874,H32287,H,300.6,309.4,1555,37.9,24,0,No Failure,1
4992,4993,L52172,L,303.8,312.9,1573,34.6,14,0,No Failure,1
5491,5492,M20351,M,302.7,312.2,1350,58.6,2,0,No Failure,1
3882,3883,L51062,L,302.5,311.6,1419,43.7,39,0,No Failure,1
4174,4175,L51354,L,302.3,310.7,1499,37.8,137,0,No Failure,1
6466,6467,L53646,L,300.4,309.7,1740,31.1,113,0,No Failure,1
1955,1956,L49135,L,297.9,307.7,1308,55.2,87,0,No Failure,1
8486,8487,M23346,M,298.5,309.5,1501,40.2,114,0,No Failure,1
2074,2075,L49254,L,299.5,309.4,1602,31.5,193,0,No Failure,1
5263,5264,L52443,L,303.5,312.8,1877,22.3,96,0,No Failure,1
8273,8274,M23133,M,299.0,310.6,1787,22.2,192,0,No Failure,1
4639,4640,L51819,L,303.1,311.3,1657,31.8,217,0,No Failure,1
934,935,M15794,M,295.5,306.0,1326,50.8,18,0,No Failure,1
7119,7120,L54299,L,301.0,310.5,1378,44.4,83,0,No Failure,1
2829,2830,L50009,L,300.3,309.3,1612,36.0,158,0,No Failure,1
1849,1850,L49029,L,297.7,307.2,1668,32.7,31,0,No Failure,1
3371,3372,L50551,L,301.4,310.7,1989,21.8,19,0,No Failure,1
7620,7621,L54800,L,300.5,311.5,1651,36.9,65,0,No Failure,1
3904,3905,H33318,H,302.2,311.1,1426,50.6,101,0,No Failure,1
7738,7739,M22598,M,300.5,312.0,1263,60.8,146,0,No Failure,1
9447,9448,M24307,M,298.1,308.9,1323,51.7,88,0,No Failure,1
6769,6770,L53949,L,301.2,310.8,1392,52.6,23,0,No Failure,1
8893,8894,L56073,L,297.5,308.7,1371,46.5,121,0,No Failure,1
6110,6111,L53290,L,300.7,310.8,1534,41.3,69,0,No Failure,1
1751,1752,L48931,L,298.3,307.6,1942,20.6,176,0,No Failure,1
6489,6490,M21349,M,300.7,309.8,1490,38.8,173,0,No Failure,1
4505,4506,L51685,L,302.4,310.1,1426,46.8,95,0,No Failure,1
8061,8062,M22921,M,300.2,311.6,1465,41.4,78,0,No Failure,1
5272,5273,M20132,M,303.6,313.0,1396,38.2,117,0,No Failure,1
661,662,M15521,M,297.6,309.0,1427,45.6,179,0,No Failure,1
8423,8424,L55603,L,299.0,310.4,1452,46.2,168,0,No Failure,1
5742,5743,L52922,L,302.3,311.7,1414,47.0,11,0,No Failure,1
5497,5498,M20357,M,302.9,312.5,1551,40.0,20,0,No Failure,1
7406,7407,L54586,L,299.8,310.9,1545,40.7,166,0,No Failure,1
9132,9133,M23992,M,297.6,308.6,1585,42.0,90,0,No Failure,1
3356,3357,L50536,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure,2
8831,8832,H38245,H,297.4,308.7,1726,26.8,158,0,No Failure,1
3252,3253,L50432,L,301.1,309.7,1668,30.8,158,0,No Failure,1
5999,6000,M20859,M,300.4,310.2,1671,30.5,234,1,Tool Wear Failure,5
3134,3135,L50314,L,300.2,309.6,1359,51.5,66,0,No Failure,1
9143,9144,L56323,L,297.6,308.5,1452,42.6,116,0,No Failure,1
6284,6285,M21144,M,301.2,310.8,1734,31.3,64,0,No Failure,1
1982,1983,M16842,M,298.0,307.7,1487,41.3,160,0,No Failure,1
5843,5844,L53023,L,301.5,311.2,1700,28.8,39,0,No Failure,1
9124,9125,L56304,L,297.4,308.4,1426,50.4,70,0,No Failure,1
2749,2750,M17609,M,299.7,309.2,1685,28.9,179,1,No Failure,1
7019,7020,L54199,L,300.8,310.8,1741,27.1,39,0,No Failure,1
7288,7289,M22148,M,300.2,310.6,1983,20.8,83,0,No Failure,1
2642,2643,L49822,L,299.8,309.5,1542,40.3,141,0,No Failure,1
9474,9475,M24334,M,298.7,309.6,1455,46.8,162,0,No Failure,1
2193,2194,M17053,M,299.5,308.9,1448,42.9,74,0,No Failure,1
9527,9528,L56707,L,299.1,310.4,1550,43.9,79,0,No Failure,1
8225,8226,L55405,L,299.1,310.5,1532,36.6,62,0,No Failure,1
3438,3439,L50618,L,301.4,310.4,1471,37.5,193,0,No Failure,1
1588,1589,L48768,L,298.2,308.3,1688,32.0,202,0,No Failure,1
8655,8656,L55835,L,297.3,308.3,1268,60.6,119,0,No Failure,1
4217,4218,L51397,L,301.9,310.6,1462,38.8,22,0,No Failure,1
1498,1499,L48678,L,298.0,308.8,1790,27.2,193,0,No Failure,1
8982,8983,L56162,L,297.0,307.7,1315,60.1,128,0,No Failure,1
6671,6672,L53851,L,301.5,310.6,1357,42.1,212,0,No Failure,1
3560,3561,L50740,L,301.8,310.7,1680,32.4,76,0,No Failure,1
3246,3247,L50426,L,301.0,309.7,1468,42.0,141,0,No Failure,1
3114,3115,M17974,M,299.9,309.2,1683,30.5,13,0,No Failure,1
6215,6216,L53395,L,301.1,310.8,1521,41.0,99,0,No Failure,1
1008,1009,L48188,L,296.2,307.1,1441,41.7,3,0,No Failure,1
7034,7035,H36448,H,300.6,310.6,1830,26.2,78,0,No Failure,1
716,717,H30130,H,297.4,308.6,1420,45.8,120,0,No Failure,1
6143,6144,M21003,M,301.0,310.9,1575,34.6,150,0,No Failure,1
7700,7701,M22560,M,300.7,311.6,1348,62.5,36,0,No Failure,1
947,948,L48127,L,295.6,306.2,1428,44.5,51,0,No Failure,1
3494,3495,L50674,L,301.9,311.0,1356,45.7,119,0,No Failure,1
7320,7321,H36734,H,299.8,310.2,1411,49.7,161,0,No Failure,1
9363,9364,L56543,L,297.9,308.5,1519,34.3,61,0,No Failure,1
6716,6717,L53896,L,301.3,310.6,1387,53.6,94,0,No Failure,1
2697,2698,L49877,L,300.0,309.6,1618,28.7,53,0,No Failure,1
7992,7993,M22852,M,301.1,312.3,1852,25.9,131,0,No Failure,1
1298,1299,M16158,M,298.7,309.8,1343,53.6,134,0,No Failure,1
3056,3057,L50236,L,300.2,309.2,1667,29.9,75,0,No Failure,1
832,833,L48012,L,296.6,307.4,1521,38.6,173,0,No Failure,1
8165,8166,L55345,L,299.6,311.0,1552,33.2,139,0,No Failure,1
9865,9866,M24725,M,298.9,309.8,2450,13.9,89,0,No Failure,1
8889,8890,M23749,M,297.7,308.8,2089,19.1,111,0,No Failure,1
333,334,L47513,L,297.5,308.2,1647,31.3,3,0,No Failure,1
8667,8668,M23527,M,297.5,308.8,1455,46.1,147,0,No Failure,1
419,420,M15279,M,297.3,308.3,1501,38.2,2,0,No Failure,1
1478,1479,L48658,L,298.3,309.4,1568,35.8,140,0,No Failure,1
2267,2268,L49447,L,299.2,308.5,1370,52.4,61,0,No Failure,1
9973,9974,L57153,L,298.5,308.2,1444,40.5,170,0,No Failure,1
1711,1712,L48891,L,298.2,307.8,1355,51.3,70,0,No Failure,1
6719,6720,M21579,M,301.4,310.6,1431,40.6,101,0,No Failure,1
8007,8008,M22867,M,301.0,312.1,1664,28.4,168,0,No Failure,1
2006,2007,M16866,M,298.5,308.3,1381,50.5,22,0,No Failure,1
6322,6323,M21182,M,300.7,310.1,1483,40.2,162,0,No Failure,1
3899,3900,M18759,M,302.1,311.0,1711,28.7,83,0,No Failure,1
9472,9473,M24332,M,298.7,309.4,1375,48.3,157,0,No Failure,1
1208,1209,L48388,L,297.0,308.1,1489,44.1,96,0,No Failure,1
1670,1671,L48850,L,298.2,307.8,1528,31.1,194,0,No Failure,1
4308,4309,H33722,H,301.4,309.9,1460,47.2,22,0,No Failure,1
5470,5471,M20330,M,302.7,312.2,1585,35.5,167,0,No Failure,1
5363,5364,L52543,L,303.2,312.5,1518,39.9,146,0,No Failure,1
3222,3223,M18082,M,300.7,309.7,1435,44.7,76,0,No Failure,1
1932,1933,M16792,M,298.1,308.0,1686,29.3,35,0,No Failure,1
6393,6394,L53573,L,300.2,309.7,1678,30.5,142,0,No Failure,1
4775,4776,L51955,L,303.5,312.0,1761,25.8,105,0,No Failure,1
9720,9721,M24580,M,298.9,309.9,1357,54.5,121,0,No Failure,1
5519,5520,L52699,L,302.5,311.9,1452,47.4,77,0,No Failure,1
2132,2133,L49312,L,299.4,309.0,1660,28.4,139,0,No Failure,1
4547,4548,M19407,M,302.5,310.4,1451,53.6,194,0,No Failure,1
373,374,L47553,L,297.4,308.3,1412,42.0,111,0,No Failure,1
2254,2255,L49434,L,299.1,308.3,1325,46.9,28,0,No Failure,1
5804,5805,L52984,L,301.5,310.9,1365,46.5,172,0,No Failure,1
6571,6572,M21431,M,301.3,310.6,1378,49.4,173,0,No Failure,1
9683,9684,M24543,M,299.0,310.0,1338,56.4,29,0,No Failure,1
4844,4845,M19704,M,303.4,311.8,1316,50.9,69,1,Heat Dissipation Failure,0
8944,8945,L56124,L,297.3,308.3,1471,38.2,37,0,No Failure,1
8593,8594,M23453,M,297.4,308.0,1601,34.6,181,0,No Failure,1
5763,5764,H35177,H,301.8,311.2,1451,39.4,70,0,No Failure,1
8218,8219,L55398,L,299.1,310.5,1485,37.8,46,0,No Failure,1
5381,5382,L52561,L,302.8,312.4,1651,27.0,200,0,No Failure,1
8186,8187,L55366,L,299.7,311.0,1827,25.4,194,0,No Failure,1
4509,4510,L51689,L,302.4,310.1,1429,43.7,104,0,No Failure,1
5710,5711,H35124,H,302.2,311.7,1413,46.5,147,0,No Failure,1
9557,9558,M24417,M,299.5,310.8,1507,40.2,156,0,No Failure,1
8913,8914,M23773,M,297.2,308.5,1487,46.9,173,0,No Failure,1
6532,6533,H35946,H,301.2,310.6,1352,52.0,69,0,No Failure,1
928,929,L48108,L,295.6,306.0,1949,21.9,5,0,No Failure,1
9275,9276,L56455,L,298.2,308.7,1605,29.4,47,0,No Failure,1
5441,5442,M20301,M,303.0,312.6,1392,42.9,94,0,No Failure,1
2063,2064,L49243,L,299.7,309.6,1321,53.4,166,0,No Failure,1
4841,4842,M19701,M,303.3,311.8,1441,44.9,61,0,No Failure,1
4533,4534,M19393,M,302.4,310.3,1375,52.5,161,1,Heat Dissipation Failure,0
3317,3318,L50497,L,301.5,310.5,1636,28.7,106,0,No Failure,1
1137,1138,L48317,L,296.9,307.8,1653,29.7,137,0,No Failure,1
4111,4112,M18971,M,302.0,310.6,1563,41.0,184,0,No Failure,1
3760,3761,L50940,L,302.3,310.9,1377,46.8,166,1,Heat Dissipation Failure,0
5617,5618,L52797,L,303.1,312.4,1404,61.5,127,1,Power Failure,3
8206,8207,L55386,L,299.3,310.8,1483,43.5,15,0,No Failure,1
7639,7640,L54819,L,300.5,311.4,1466,41.8,112,0,No Failure,1
5348,5349,L52528,L,303.3,312.6,1623,34.6,102,0,No Failure,1
614,615,M15474,M,298.0,309.9,1445,45.2,55,0,No Failure,1
5876,5877,L53056,L,301.5,311.1,1426,52.1,121,0,No Failure,1
3362,3363,L50542,L,301.4,310.6,1445,43.9,210,0,No Failure,1
471,472,H29885,H,297.3,308.8,1419,42.4,139,0,No Failure,1
5627,5628,L52807,L,302.7,312.1,1597,39.8,153,0,No Failure,1
240,241,M15100,M,298.0,308.1,1339,51.6,197,0,No Failure,1
2118,2119,H31532,H,299.3,308.9,1429,43.0,96,0,No Failure,1
2565,2566,L49745,L,299.4,309.1,1304,50.5,153,0,No Failure,1
3153,3154,M18013,M,300.5,309.9,1483,49.3,124,0,No Failure,1
2460,2461,L49640,L,299.0,308.6,1466,46.4,112,0,No Failure,1
6604,6605,M21464,M,301.5,310.6,1573,37.4,37,0,No Failure,1
3932,3933,L51112,L,302.6,311.6,1953,22.4,180,0,No Failure,1
1575,1576,L48755,L,298.2,308.3,2057,18.0,168,0,No Failure,1
3872,3873,L51052,L,302.7,311.9,1389,46.5,15,0,No Failure,1
