,UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Failure Type Cat
429,430,L47609,L,297.5,308.6,1208,62.3,28,0,No Failure,1
431,432,L47611,L,297.5,308.5,1446,41.9,32,0,No Failure,1
435,436,L47615,L,297.4,308.3,1493,41.2,43,0,No Failure,1
438,439,L47618,L,297.4,308.4,1341,52.2,49,0,No Failure,1
441,442,H29855,H,297.5,308.5,1393,46.6,56,0,No Failure,1
443,444,H29857,H,297.4,308.5,1469,45.1,63,0,No Failure,1
445,446,L47625,L,297.5,308.6,1793,26.7,70,0,No Failure,1
446,447,L47626,L,297.5,308.6,1452,39.0,72,0,No Failure,1
449,450,L47629,L,297.6,308.7,1622,37.9,79,0,No Failure,1
450,451,M15310,M,297.6,308.7,1419,41.7,81,0,No Failure,1
452,453,M15312,M,297.4,308.6,1643,31.0,89,0,No Failure,1
458,459,L47638,L,297.3,308.6,1486,42.6,105,0,No Failure,1
461,462,L47641,L,297.4,308.7,1402,40.2,114,0,No Failure,1
464,465,L47644,L,297.3,308.6,1511,35.7,120,0,No Failure,1
466,467,L47646,L,297.2,308.5,1550,41.5,125,0,No Failure,1
467,468,L47647,L,297.2,308.5,2182,16.5,127,0,No Failure,1
469,470,M15329,M,297.3,308.8,1586,32.7,131,0,No Failure,1
472,473,M15332,M,297.4,309.0,1497,41.8,144,0,No Failure,1
475,476,L47655,L,297.4,309.1,1380,41.1,152,0,No Failure,1
477,478,H29891,H,297.4,309.0,1468,41.4,156,0,No Failure,1
489,490,M15349,M,297.5,309.2,1347,55.8,188,0,No Failure,1
490,491,L47670,L,297.4,309.2,1459,37.9,191,0,No Failure,1
491,492,L47671,L,297.4,309.2,1420,45.6,193,0,No Failure,1
497,498,L47677,L,297.4,309.0,1505,39.2,209,0,No Failure,1
498,499,L47678,L,297.5,309.1,1611,30.2,211,0,No Failure,1
500,501,M15360,M,297.5,309.2,1804,27.4,215,0,No Failure,1
504,505,M15364,M,297.6,309.3,1529,41.9,3,0,No Failure,1
505,506,L47685,L,297.6,309.3,1610,35.0,6,0,No Failure,1
506,507,L47686,L,297.6,309.3,1543,34.3,8,0,No Failure,1
514,515,L47694,L,297.4,309.2,1620,33.2,28,0,No Failure,1
515,516,L47695,L,297.5,309.2,1715,28.0,30,0,No Failure,1
521,522,L47701,L,297.5,309.4,1497,35.8,44,0,No Failure,1
523,524,L47703,L,297.4,309.4,1401,45.9,49,0,No Failure,1
528,529,M15388,M,297.5,309.5,1553,42.4,60,0,No Failure,1
529,530,L47709,L,297.6,309.5,1569,36.2,63,0,No Failure,1
530,531,M15390,M,297.6,309.5,1709,32.2,65,0,No Failure,1
533,534,L47713,L,297.5,309.3,1675,29.8,72,0,No Failure,1
540,541,L47720,L,297.4,309.4,1473,45.5,94,0,No Failure,1
547,548,M15407,M,297.5,309.4,1482,39.3,112,0,No Failure,1
549,550,L47729,L,297.4,309.2,1437,40.4,117,0,No Failure,1
554,555,H29968,H,297.5,309.4,1368,45.3,129,0,No Failure,1
556,557,L47736,L,297.5,309.4,1357,50.1,137,0,No Failure,1
560,561,L47740,L,297.5,309.4,1318,58.2,146,0,No Failure,1
563,564,L47743,L,297.7,309.6,1529,35.2,153,0,No Failure,1
564,565,H29978,H,297.6,309.6,1669,32.1,155,0,No Failure,1
565,566,H29979,H,297.7,309.7,1570,35.8,160,0,No Failure,1
567,568,M15427,M,297.7,309.7,1680,30.2,168,0,No Failure,1
568,569,L47748,L,297.8,309.7,1935,22.1,171,0,No Failure,1
570,571,L47750,L,297.7,309.7,1498,41.0,176,0,No Failure,1
576,577,H29990,H,297.7,309.7,1440,51.1,191,0,No Failure,1
579,580,M15439,M,297.8,309.7,1700,31.3,200,0,No Failure,1
580,581,M15440,M,297.8,309.8,1798,25.5,203,0,No Failure,1
583,584,H29997,H,297.7,309.6,1697,32.2,210,0,No Failure,1
584,585,H29998,H,297.6,309.6,1419,48.2,215,0,No Failure,1
595,596,M15455,M,297.6,309.6,1330,53.1,7,0,No Failure,1
603,604,L47783,L,297.9,309.8,1336,71.6,31,1,Power Failure,3
604,605,L47784,L,297.9,309.9,1542,33.8,33,0,No Failure,1
607,608,M15467,M,298.0,309.9,1565,33.9,40,0,No Failure,1
610,611,L47790,L,298.1,310.0,1534,33.7,47,0,No Failure,1
611,612,L47791,L,298.1,310.0,1553,40.9,49,0,No Failure,1
612,613,L47792,L,298.1,309.9,1563,32.8,51,0,No Failure,1
615,616,L47795,L,298.1,309.9,1642,30.4,58,0,No Failure,1
620,621,M15480,M,298.3,310.1,1389,49.6,75,0,No Failure,1
621,622,L47801,L,298.3,310.1,1408,45.3,78,0,No Failure,1
622,623,M15482,M,298.4,310.2,1725,32.0,80,0,No Failure,1
624,625,H30038,H,298.3,310.1,1509,37.6,85,0,No Failure,1
628,629,M15488,M,298.4,310.1,1335,57.8,96,0,No Failure,1
629,630,L47809,L,298.3,310.1,1523,45.9,99,0,No Failure,1
631,632,L47811,L,298.4,310.0,1554,37.3,103,0,No Failure,1
633,634,L47813,L,298.3,310.0,1442,43.9,110,0,No Failure,1
637,638,L47817,L,298.2,309.7,1585,37.4,118,0,No Failure,1
638,639,L47818,L,298.0,309.6,1536,37.3,120,0,No Failure,1
640,641,M15500,M,297.9,309.6,1515,38.8,124,0,No Failure,1
641,642,L47821,L,297.9,309.5,1390,47.9,127,0,No Failure,1
645,646,L47825,L,297.7,309.4,1392,44.1,140,0,No Failure,1
648,649,H30062,H,297.7,309.3,1400,48.9,147,0,No Failure,1
652,653,L47832,L,297.7,309.2,1391,44.5,159,0,No Failure,1
663,664,L47843,L,297.5,308.9,1469,44.0,185,0,No Failure,1
667,668,L47847,L,297.5,308.9,1459,48.5,193,0,No Failure,1
668,669,L47848,L,297.5,308.9,1738,24.0,195,0,No Failure,1
673,674,L47853,L,297.6,308.9,1449,47.7,209,0,No Failure,1
679,680,L47859,L,297.8,309.2,1372,47.3,15,0,No Failure,1
680,681,M15540,M,297.8,309.1,1432,42.6,17,0,No Failure,1
681,682,M15541,M,297.7,309.0,1656,33.2,20,0,No Failure,1
682,683,H30096,H,297.8,309.0,1410,48.8,23,0,No Failure,1
688,689,H30102,H,297.6,309.0,1735,26.4,41,0,No Failure,1
690,691,H30104,H,297.6,309.0,1413,40.2,51,0,No Failure,1
696,697,M15556,M,297.6,309.0,1815,25.3,66,0,No Failure,1
697,698,M15557,M,297.6,308.8,1453,39.7,69,0,No Failure,1
699,700,H30113,H,297.5,308.7,1416,39.2,74,0,No Failure,1
701,702,L47881,L,297.7,308.8,1515,40.1,82,0,No Failure,1
704,705,L47884,L,297.7,308.9,1516,33.7,92,0,No Failure,1
706,707,M15566,M,297.8,309.0,1434,43.3,96,0,No Failure,1
707,708,L47887,L,297.7,308.9,1838,27.3,99,0,No Failure,1
709,710,M15569,M,297.6,308.8,1357,49.7,104,0,No Failure,1
710,711,M15570,M,297.5,308.7,1697,28.1,107,0,No Failure,1
715,716,L47895,L,297.4,308.6,1324,59.1,118,0,No Failure,1
717,718,L47897,L,297.4,308.7,1545,36.9,125,0,No Failure,1
719,720,L47899,L,297.4,308.8,1447,58.1,129,0,No Failure,1
720,721,L47900,L,297.4,308.9,1809,23.8,131,0,No Failure,1
723,724,M15583,M,297.4,308.9,1500,46.3,137,0,No Failure,1
731,732,M15591,M,297.3,308.6,1431,53.0,160,0,No Failure,1
733,734,M15593,M,297.1,308.4,1421,42.0,165,0,No Failure,1
737,738,H30151,H,296.9,308.3,1474,39.2,177,0,No Failure,1
738,739,L47918,L,296.8,308.3,1506,45.9,182,0,No Failure,1
740,741,M15600,M,296.9,308.4,1450,46.9,186,0,No Failure,1
743,744,L47923,L,296.8,308.2,1361,53.8,193,0,No Failure,1
747,748,L47927,L,296.8,308.1,1356,48.3,201,0,No Failure,1
749,750,L47929,L,296.6,308.0,1978,22.3,208,0,No Failure,1
753,754,L47933,L,296.8,308.0,1536,40.4,217,0,No Failure,1
756,757,L47936,L,296.8,308.0,1584,40.4,227,0,No Failure,1
757,758,L47937,L,296.9,308.1,1555,33.7,229,0,No Failure,1
759,760,M15619,M,296.7,307.8,1537,36.3,233,0,No Failure,1
762,763,M15622,M,296.7,307.8,1286,60.5,0,0,No Failure,1
765,766,L47945,L,296.9,308.0,1332,53.9,7,0,No Failure,1
768,769,L47948,L,296.9,308.0,1713,29.3,13,0,No Failure,1
769,770,L47949,L,296.9,308.0,1343,44.5,15,0,No Failure,1
771,772,H30185,H,296.8,308.0,1311,58.6,19,0,No Failure,1
772,773,H30186,H,296.8,308.0,1453,51.0,24,0,No Failure,1
776,777,L47956,L,296.7,307.8,1468,39.2,35,0,No Failure,1
777,778,L47957,L,296.7,307.8,1382,47.5,37,0,No Failure,1
779,780,L47959,L,296.8,308.0,1666,29.8,41,0,No Failure,1
782,783,L47962,L,296.8,307.9,1698,30.8,48,0,No Failure,1
788,789,M15648,M,296.9,308.1,1440,46.3,64,0,No Failure,1
789,790,M15649,M,296.9,308.0,1641,33.3,67,0,No Failure,1
790,791,L47970,L,296.8,307.9,1420,45.4,70,0,No Failure,1
791,792,L47971,L,296.8,307.9,1611,35.4,72,0,No Failure,1
794,795,H30208,H,296.9,307.9,1547,32.6,79,0,No Failure,1
795,796,L47975,L,296.9,307.8,1605,37.0,84,0,No Failure,1
797,798,L47977,L,296.8,307.7,1565,40.1,89,0,No Failure,1
798,799,M15658,M,296.9,307.8,1828,24.6,91,0,No Failure,1
801,802,L47981,L,296.9,307.8,1285,52.1,100,0,No Failure,1
805,806,M15665,M,297.0,307.9,1412,47.4,112,0,No Failure,1
807,808,L47987,L,297.0,307.7,1867,22.8,118,0,No Failure,1
809,810,L47989,L,296.9,307.6,1452,45.7,122,0,No Failure,1
811,812,L47991,L,296.8,307.6,1588,37.6,126,0,No Failure,1
812,813,L47992,L,296.8,307.6,1338,44.4,128,0,No Failure,1
814,815,M15674,M,296.8,307.5,1470,45.9,132,0,No Failure,1
815,816,M15675,M,296.8,307.5,1516,36.7,135,0,No Failure,1
819,820,L47999,L,296.8,307.6,1398,46.7,144,0,No Failure,1
824,825,L48004,L,296.6,307.4,1436,42.8,156,0,No Failure,1
826,827,L48006,L,296.5,307.2,1481,38.2,160,0,No Failure,1
838,839,H30252,H,296.6,307.4,1406,41.5,189,0,No Failure,1
843,844,L48023,L,296.6,307.5,1485,42.7,204,0,No Failure,1
845,846,L48025,L,296.3,307.3,1439,41.5,208,0,No Failure,1
846,847,M15706,M,296.4,307.4,1416,50.0,210,0,No Failure,1
849,850,H30263,H,296.4,307.4,1586,35.5,0,0,No Failure,1
852,853,M15712,M,296.3,307.3,1368,49.5,10,0,No Failure,1
853,854,L48033,L,296.3,307.3,1444,49.0,13,0,No Failure,1
856,857,L48036,L,296.1,307.1,1898,22.7,20,0,No Failure,1
862,863,H30276,H,296.1,306.8,1645,31.0,41,0,No Failure,1
865,866,L48045,L,295.9,306.6,1414,50.2,51,0,No Failure,1
869,870,L48049,L,295.8,306.5,1358,49.2,63,0,No Failure,1
872,873,M15732,M,295.8,306.4,1335,51.7,69,0,No Failure,1
873,874,L48053,L,295.9,306.4,1892,21.7,72,0,No Failure,1
875,876,M15735,M,295.8,306.3,1444,45.5,76,0,No Failure,1
877,878,M15737,M,295.6,306.2,1584,33.6,81,0,No Failure,1
882,883,M15742,M,295.7,306.2,1739,25.9,94,0,No Failure,1
883,884,L48063,L,295.7,306.3,1490,34.3,97,0,No Failure,1
886,887,L48066,L,295.7,306.2,1458,40.6,103,0,No Failure,1
888,889,M15748,M,295.6,306.1,1651,28.1,110,0,No Failure,1
896,897,L48076,L,295.5,306.1,1573,35.1,129,0,No Failure,1
899,900,H30313,H,295.6,306.2,1329,55.3,135,0,No Failure,1
902,903,L48082,L,295.6,306.1,1383,48.7,147,0,No Failure,1
904,905,H30318,H,295.7,306.2,1458,49.8,151,0,No Failure,1
908,909,M15768,M,295.5,306.1,1822,24.3,164,0,No Failure,1
912,913,L48092,L,295.6,306.0,1569,40.4,174,0,No Failure,1
915,916,M15775,M,295.4,305.8,1526,38.2,181,0,No Failure,1
916,917,M15776,M,295.3,305.8,1589,36.2,184,0,No Failure,1
918,919,M15778,M,295.3,305.7,1473,38.5,189,0,No Failure,1
919,920,L48099,L,295.4,305.8,1407,50.7,192,0,No Failure,1
924,925,L48104,L,295.5,306.0,1800,27.6,208,0,No Failure,1
926,927,L48106,L,295.6,306.1,1372,55.6,215,1,Overstrain Failure,2
930,931,M15790,M,295.5,305.9,1453,47.3,9,0,No Failure,1
932,933,L48112,L,295.6,306.0,1363,50.0,14,0,No Failure,1
933,934,L48113,L,295.5,306.0,1597,37.2,16,0,No Failure,1
935,936,M15795,M,295.5,306.0,1641,36.6,21,0,No Failure,1
936,937,M15796,M,295.6,306.1,1418,46.2,24,0,No Failure,1
938,939,L48118,L,295.6,306.2,1823,25.8,29,0,No Failure,1
945,946,M15805,M,295.7,306.3,1347,50.4,46,0,No Failure,1
948,949,M15808,M,295.6,306.3,1426,45.5,53,0,No Failure,1
950,951,L48130,L,295.6,306.2,1424,42.5,58,0,No Failure,1
960,961,L48140,L,295.8,306.5,1534,37.9,88,0,No Failure,1
962,963,M15822,M,295.8,306.6,1480,43.2,92,0,No Failure,1
971,972,L48151,L,295.9,306.6,1557,41.1,113,0,No Failure,1
972,973,L48152,L,295.8,306.6,1644,35.2,115,0,No Failure,1
973,974,L48153,L,295.9,306.6,1679,30.4,117,0,No Failure,1
977,978,L48157,L,296.0,306.7,1917,21.0,127,0,No Failure,1
978,979,M15838,M,296.2,306.8,1526,42.3,129,0,No Failure,1
979,980,L48159,L,296.2,306.8,1389,53.3,132,0,No Failure,1
981,982,L48161,L,296.2,306.8,1655,31.1,136,0,No Failure,1
983,984,L48163,L,296.2,306.9,1526,34.9,140,0,No Failure,1
986,987,H30400,H,296.4,307.1,1638,32.5,146,0,No Failure,1
996,997,M15856,M,296.3,307.2,1286,51.1,177,0,No Failure,1
999,1000,L48179,L,296.3,307.1,1560,33.2,186,0,No Failure,1
1001,1002,L48181,L,296.3,307.1,1662,32.9,190,0,No Failure,1
1003,1004,L48183,L,296.2,307.1,1444,46.7,194,0,No Failure,1
1006,1007,L48186,L,296.2,307.1,1413,53.4,203,0,No Failure,1
1009,1010,M15869,M,296.2,307.2,1385,44.0,5,0,No Failure,1
1010,1011,M15870,M,296.2,307.2,1552,34.8,8,0,No Failure,1
1015,1016,L48195,L,296.2,307.2,1356,43.6,22,0,No Failure,1
1016,1017,M15876,M,296.3,307.2,1319,68.3,24,1,Power Failure,3
1017,1018,L48197,L,296.3,307.2,1637,31.6,27,0,No Failure,1
1022,1023,L48202,L,296.2,307.2,1515,36.5,38,0,No Failure,1
1025,1026,L48205,L,296.2,307.3,1475,37.0,44,0,No Failure,1
1027,1028,M15887,M,296.3,307.4,1335,50.5,48,0,No Failure,1
1030,1031,L48210,L,296.3,307.4,1760,28.4,56,0,No Failure,1
1033,1034,H30447,H,296.4,307.5,1556,38.0,62,0,No Failure,1
1035,1036,L48215,L,296.4,307.4,1403,48.4,70,0,No Failure,1
1036,1037,M15896,M,296.4,307.5,1684,31.4,72,0,No Failure,1
1039,1040,L48219,L,296.7,307.7,1524,36.8,82,0,No Failure,1
1046,1047,L48226,L,296.4,307.5,1331,47.8,99,0,No Failure,1
1048,1049,L48228,L,296.5,307.6,1607,33.5,104,0,No Failure,1
1052,1053,L48232,L,296.7,307.7,1927,23.9,112,0,No Failure,1
1053,1054,M15913,M,296.7,307.7,1597,32.1,114,0,No Failure,1
1058,1059,L48238,L,296.7,307.8,1605,31.3,128,0,No Failure,1
1061,1062,L48241,L,296.7,307.9,1420,50.1,138,0,No Failure,1
1069,1070,M15929,M,296.9,307.8,1840,24.6,157,0,No Failure,1
1072,1073,M15932,M,297.0,307.9,1414,46.2,165,0,No Failure,1
1076,1077,L48256,L,296.9,307.7,1653,35.9,177,0,No Failure,1
1080,1081,L48260,L,297.0,307.8,1774,28.0,188,0,No Failure,1
1087,1088,H30501,H,296.9,307.8,1549,35.8,206,1,Tool Wear Failure,5
1092,1093,M15952,M,296.9,307.6,1685,32.0,10,0,No Failure,1
1093,1094,M15953,M,296.8,307.5,1443,39.2,13,0,No Failure,1
1096,1097,L48276,L,297.0,307.6,1680,35.8,20,0,No Failure,1
1100,1101,H30514,H,296.8,307.5,1695,30.0,33,0,No Failure,1
1101,1102,H30515,H,296.7,307.5,1607,33.6,38,0,No Failure,1
1106,1107,L48286,L,296.7,307.6,1540,38.6,53,0,No Failure,1
1107,1108,M15967,M,296.7,307.5,1515,42.1,55,0,No Failure,1
1108,1109,L48288,L,296.6,307.4,1504,45.8,58,0,No Failure,1
1109,1110,L48289,L,296.6,307.5,1557,35.1,60,0,No Failure,1
1110,1111,L48290,L,296.5,307.4,1292,52.5,62,0,No Failure,1
1112,1113,M15972,M,296.5,307.4,1350,55.6,69,0,No Failure,1
1113,1114,M15973,M,296.6,307.4,1790,25.8,72,0,No Failure,1
1118,1119,L48298,L,296.5,307.5,1443,41.8,87,0,No Failure,1
1119,1120,L48299,L,296.5,307.5,1340,59.1,89,0,No Failure,1
1120,1121,H30534,H,296.6,307.7,1654,31.0,91,0,No Failure,1
1127,1128,M15987,M,296.7,307.8,1672,32.4,113,0,No Failure,1
1128,1129,M15988,M,296.8,307.9,1843,25.2,116,0,No Failure,1
